Kjøring # 1;Kjøring # 1;Kjøring # 1;Kjøring # 1;Kjøring # 1;Kjøring # 2;Kjøring # 2;Kjøring # 2;Kjøring # 2;Kjøring # 2;Kjøring # 3;Kjøring # 3;Kjøring # 3;Kjøring # 3;Kjøring # 3;Kjøring # 4;Kjøring # 4;Kjøring # 4;Kjøring # 4;Kjøring # 4;Kjøring # 5;Kjøring # 5;Kjøring # 5;Kjøring # 5;Kjøring # 5
02.11.2018 15.34.57;3,050;2,84;-0,03;63,14;02.11.2018 15.38.08;3,050;0,24;-1,98;33,02;02.11.2018 15.39.54;3,050;2,83;0,00;0,07;02.11.2018 15.40.55;3,050;2,83;-0,01;0,09;02.11.2018 15.41.27;3,050;2,83;0,00;0,12
02.11.2018 15.34.57;3,100;2,83;-0,03;33,09;02.11.2018 15.38.08;3,100;0,15;-1,88;102,05;02.11.2018 15.39.54;3,100;2,83;0,01;0,10;02.11.2018 15.40.55;3,100;2,83;0,00;;02.11.2018 15.41.27;3,100;2,83;0,01;0,08
02.11.2018 15.34.57;3,150;2,84;-0,10;-0,36;02.11.2018 15.38.08;3,150;0,00;8,27;138,38;02.11.2018 15.39.54;3,150;2,83;0,02;0,10;02.11.2018 15.40.55;3,150;2,83;0,00;;02.11.2018 15.41.27;3,150;2,83;0,01;
02.11.2018 15.34.57;3,200;2,82;-0,10;0,16;02.11.2018 15.38.08;3,200;0,00;18,60;73,67;02.11.2018 15.39.54;3,200;2,83;0,02;0,02;02.11.2018 15.40.55;3,200;2,83;;;02.11.2018 15.41.27;3,200;2,83;-8,50E-4;
02.11.2018 15.34.57;3,250;2,82;-0,07;0,59;02.11.2018 15.38.08;3,250;2,86;19,05;-58,69;02.11.2018 15.39.54;3,250;2,83;0,02;-0,09;;;;;;02.11.2018 15.41.27;3,250;2,83;;
02.11.2018 15.34.57;3,300;2,82;-0,01;0,55;02.11.2018 15.38.08;3,300;2,86;9,44;-126,70;02.11.2018 15.39.54;3,300;2,83;0,01;-0,13;;;;;;;;;;
02.11.2018 15.34.57;3,350;2,82;-0,01;0,28;02.11.2018 15.38.08;3,350;2,85;-0,18;-96,00;02.11.2018 15.39.54;3,350;2,83;0,00;-0,09;;;;;;;;;;
02.11.2018 15.34.57;3,400;2,82;0,00;0,06;02.11.2018 15.38.08;3,400;2,84;-0,19;-31,46;02.11.2018 15.39.54;3,400;2,83;0,00;-0,05;;;;;;;;;;
02.11.2018 15.34.57;3,450;2,82;0,00;0,02;02.11.2018 15.38.08;3,450;2,83;-0,13;0,99;02.11.2018 15.39.54;3,450;2,83;1,89E-4;0,00;;;;;;;;;;
02.11.2018 15.34.57;3,500;2,82;0,00;3,13E-4;02.11.2018 15.38.08;3,500;2,83;-0,05;0,96;02.11.2018 15.39.54;3,500;2,83;0,00;0,11;;;;;;;;;;
02.11.2018 15.34.57;3,550;2,82;0,00;0,00;02.11.2018 15.38.08;3,550;2,83;-0,01;0,53;02.11.2018 15.39.54;3,550;2,83;0,01;0,25;;;;;;;;;;
02.11.2018 15.34.57;3,600;2,82;9,40E-5;0,00;02.11.2018 15.38.08;3,600;2,83;-0,01;0,15;02.11.2018 15.39.54;3,600;2,83;0,03;0,26;;;;;;;;;;
02.11.2018 15.34.57;3,650;2,82;-5,73E-4;0,00;02.11.2018 15.38.08;3,650;2,83;-0,01;-0,04;02.11.2018 15.39.54;3,650;2,84;0,04;0,07;;;;;;;;;;
02.11.2018 15.34.57;3,700;2,82;-6,67E-4;0,00;02.11.2018 15.38.08;3,700;2,83;-0,01;-0,11;02.11.2018 15.39.54;3,700;2,84;0,04;-0,20;;;;;;;;;;
02.11.2018 15.34.57;3,750;2,82;-9,40E-5;0,01;02.11.2018 15.38.08;3,750;2,83;-0,02;-0,08;02.11.2018 15.39.54;3,750;2,84;0,02;-0,35;;;;;;;;;;
02.11.2018 15.34.57;3,800;2,82;4,79E-4;0,01;02.11.2018 15.38.08;3,800;2,82;-0,03;0,05;02.11.2018 15.39.54;3,800;2,84;0,00;-0,39;;;;;;;;;;
02.11.2018 15.34.57;3,850;2,82;0,00;0,02;02.11.2018 15.38.08;3,850;2,82;-0,02;0,16;02.11.2018 15.39.54;3,850;2,84;-0,02;;;;;;;;;;;
02.11.2018 15.34.57;3,900;2,82;0,00;0,04;02.11.2018 15.38.08;3,900;2,82;0,00;0,15;02.11.2018 15.39.54;3,900;2,84;-0,04;;;;;;;;;;;
02.11.2018 15.34.57;3,950;2,82;0,00;0,06;02.11.2018 15.38.08;3,950;2,82;4,79E-4;0,07;02.11.2018 15.39.54;3,950;2,84;;;;;;;;;;;;
02.11.2018 15.34.58;4,000;2,82;0,01;0,04;02.11.2018 15.38.09;4,000;2,82;0,00;0,01;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,050;2,82;0,01;-0,05;02.11.2018 15.38.09;4,050;2,82;5,73E-4;-3,14E-4;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,100;2,82;0,01;-0,13;02.11.2018 15.38.09;4,100;2,82;4,79E-4;0,00;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,150;2,82;-0,01;-0,13;02.11.2018 15.38.09;4,150;2,82;0,00;0,00;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,200;2,82;-0,01;-0,03;02.11.2018 15.38.09;4,200;2,82;0,00;0,00;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,250;2,82;-0,01;0,07;02.11.2018 15.38.09;4,250;2,82;6,67E-4;-0,01;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,300;2,82;0,00;0,10;02.11.2018 15.38.09;4,300;2,82;0,00;-0,01;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,350;2,82;0,00;0,05;02.11.2018 15.38.09;4,350;2,82;9,41E-5;-0,01;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,400;2,82;0,00;-0,01;02.11.2018 15.38.09;4,400;2,82;-4,79E-4;-0,01;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,450;2,82;-4,59E-8;-0,01;02.11.2018 15.38.09;4,450;2,82;0,00;0,00;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,500;2,82;-9,41E-4;0,04;02.11.2018 15.38.09;4,500;2,82;0,00;0,00;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,550;2,82;0,01;0,06;02.11.2018 15.38.09;4,550;2,82;-5,73E-4;6,27E-4;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,600;2,82;0,01;0,02;02.11.2018 15.38.09;4,600;2,82;-4,79E-4;;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,650;2,82;0,01;-0,04;02.11.2018 15.38.09;4,650;2,82;0,00;;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,700;2,82;0,00;-0,06;02.11.2018 15.38.09;4,700;2,82;;;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,750;2,82;0,00;-0,03;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,800;2,82;0,00;-0,01;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,850;2,82;0,00;-3,14E-4;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,900;2,82;0,00;0,00;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,950;2,82;-9,41E-5;0,01;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.59;5,000;2,82;4,79E-4;0,01;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.59;5,050;2,82;0,00;0,01;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.59;5,100;2,82;0,00;0,02;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.59;5,150;2,82;0,00;0,02;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.59;5,200;2,82;0,00;0,02;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.59;5,250;2,82;0,01;-0,01;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.59;5,300;2,82;0,00;-0,05;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.59;5,350;2,82;0,00;-0,07;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.59;5,400;2,82;-0,01;-0,04;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.59;5,450;2,82;-0,01;0,00;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.59;5,500;2,82;0,00;0,03;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.59;5,550;2,82;0,00;0,04;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.59;5,600;2,82;-1,88E-4;0,03;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.59;5,650;2,82;0,00;0,02;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.59;5,700;2,82;0,00;0,01;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.59;5,750;2,82;0,00;2,85E-4;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.59;5,800;2,82;0,00;-0,01;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.59;5,850;2,82;8,56E-4;-0,03;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.59;5,900;2,82;-9,58E-4;-0,02;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.34.59;5,950;2,82;0,00;-0,01;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.00;6,000;2,82;0,00;0,00;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.00;6,050;2,82;0,00;-3,14E-4;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.00;6,100;2,82;0,00;9,70E-4;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.00;6,150;2,82;0,00;0,01;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.00;6,200;2,82;0,00;0,01;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.00;6,250;2,82;-7,62E-4;0,02;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.00;6,300;2,82;4,79E-4;0,02;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.00;6,350;2,82;0,00;0,01;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.00;6,400;2,82;0,00;0,00;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.00;6,450;2,82;6,67E-4;-0,01;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.00;6,500;2,82;-9,41E-5;-6,27E-4;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.00;6,550;2,82;4,79E-4;0,00;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.00;6,600;2,82;0,00;0,00;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.00;6,650;2,82;7,62E-4;-0,02;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.00;6,700;2,82;1,79E-4;-0,05;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.00;6,750;2,82;0,00;-0,08;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.00;6,800;2,82;-0,01;-0,05;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.00;6,850;2,82;-0,01;0,02;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.00;6,900;2,82;-0,01;0,07;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.00;6,950;2,82;-7,61E-4;0,07;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.01;7,000;2,82;7,61E-4;0,02;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.01;7,050;2,82;-4,79E-4;0,00;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.01;7,100;2,82;0,00;0,02;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.01;7,150;2,82;3,00E-4;0,05;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.01;7,200;2,82;0,01;0,04;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.01;7,250;2,82;0,01;-0,03;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.01;7,300;2,82;0,00;-0,08;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.01;7,350;2,82;0,00;-0,06;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.01;7,400;2,82;-0,01;0,02;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.01;7,450;2,82;0,00;0,07;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.01;7,500;2,82;0,01;0,04;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.01;7,550;2,82;0,00;-0,04;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.01;7,600;2,82;-8,74E-4;-0,08;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.01;7,650;2,82;-0,01;-0,04;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.01;7,700;2,82;-0,01;0,01;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.01;7,750;2,82;0,00;0,03;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.01;7,800;2,82;0,00;0,02;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.01;7,850;2,82;0,00;0,00;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.01;7,900;2,82;0,00;6,14;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.01;7,950;2,82;0,00;-19,05;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.02;8,000;2,82;1,84;-87,87;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.02;8,050;2,82;-7,56;-106,18;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.02;8,100;3,37;-18,80;7,00;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.02;8,150;0,00;-11,21;175,87;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.02;8,200;0,00;7,59;193,96;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.02;8,250;2,83;18,80;43,20;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.02;8,300;2,82;9,37;-88,07;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.02;8,350;2,82;-0,03;-93,89;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.02;8,400;2,82;0,00;-31,13;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.02;8,450;2,82;0,00;0,10;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.02;8,500;2,82;0,00;0,02;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.02;8,550;2,82;0,01;0,00;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.02;8,600;2,82;0,01;-0,05;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.02;8,650;2,82;1,79E-4;-0,09;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.02;8,700;2,82;0,00;-0,07;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.02;8,750;2,82;-0,01;-0,01;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.02;8,800;2,82;-0,01;0,06;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.02;8,850;2,82;3,85E-4;0,05;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.02;8,900;2,82;0,00;-0,01;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.02;8,950;2,82;0,00;-0,05;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.03;9,000;2,82;-0,01;-0,03;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.03;9,050;2,82;0,00;0,00;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.03;9,100;2,82;0,00;5,92;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.03;9,150;2,82;-0,01;-18,10;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.03;9,200;2,82;1,77;-84,04;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.03;9,250;2,82;-7,21;-101,95;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.03;9,300;3,35;-18,01;6,13;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.03;9,350;0,13;-10,81;168,16;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.03;9,400;0,11;7,21;186,26;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.03;9,450;2,82;18,02;42,14;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.03;9,500;2,82;9,04;-84,08;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.03;9,550;2,82;0,00;-90,21;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.03;9,600;2,82;0,00;-30,13;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.03;9,650;2,82;0,00;0,05;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.03;9,700;2,82;0,01;0,09;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.03;9,750;2,82;0,01;0,04;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.03;9,800;2,82;0,01;-0,08;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.03;9,850;2,82;0,00;-0,15;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.03;9,900;2,82;-0,01;-0,10;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.03;9,950;2,82;-0,01;-0,02;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.04;10,000;2,82;-0,01;5,99;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.04;10,050;2,82;-0,01;-18,00;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.04;10,100;2,82;1,78;-83,67;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.04;10,150;2,82;-7,20;-131,25;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.04;10,200;3,36;-17,92;-83,37;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.04;10,250;0,12;-19,68;47,74;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.04;10,300;0,14;-10,75;124,89;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.04;10,350;0,13;-0,05;101,44;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.04;10,400;0,13;-0,08;36,93;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.04;10,450;0,12;0,09;1,97;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.04;10,500;0,12;0,20;1,11;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.04;10,550;0,16;0,26;-0,99;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.04;10,600;0,15;0,08;-2,35;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.04;10,650;0,18;-0,09;-3,68;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.04;10,700;0,13;-0,16;-5,14;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.04;10,750;0,15;-0,61;-4,00;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.04;10,800;0,13;-0,95;0,95;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.04;10,850;0,00;-0,50;5,24;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.04;10,900;0,00;0,02;4,73;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.04;10,950;0,13;0,00;2,66;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.05;11,000;0,00;-0,03;24,51;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.05;11,050;0,00;0,35;69,71;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.05;11,100;0,12;7,03;69,32;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.05;11,150;0,11;13,86;-20,84;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.05;11,200;2,00;7,25;-134,62;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.05;11,250;2,29;-6,13;-138,85;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.05;11,300;0,12;-13,36;-29,22;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.05;11,350;0,14;-7,18;60,38;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.05;11,400;0,13;-0,47;64,05;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.05;11,450;0,13;-0,91;25,58;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.05;11,500;0,00;-0,41;8,95;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.05;11,550;0,00;0,44;8,52;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.05;11,600;0,13;0,86;30,90;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.05;11,650;0,13;0,37;85,31;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.05;11,700;0,13;8,93;115,79;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.05;11,750;0,11;17,97;59,09;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.05;11,800;2,83;18,00;-59,63;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.05;11,850;2,82;9,02;-119,95;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.05;11,900;2,82;-0,02;-90,08;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.05;11,950;2,82;-9,41E-5;-30,01;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.06;12,000;2,82;4,79E-4;0,06;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.06;12,050;2,82;9,59E-4;;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.06;12,100;2,82;0,00;;;;;;;;;;;;;;;;;;;;;
02.11.2018 15.35.06;12,150;2,82;;;;;;;;;;;;;;;;;;;;;;
